Epoch, Generator Loss, Discriminator Loss
Epoch, Generator Loss, Discriminator Loss
Epoch, Generator Loss, Discriminator Loss
1, 0.8970, 0.6933
2, 0.8690, 0.6931
Epoch, Generator Loss, Discriminator Loss
1, 0.0339, 0.8100
2, 0.0239, 0.8133
3, 0.0215, 0.8133
4, 0.0211, 0.8133
5, 0.0202, 0.8133
6, 0.0187, 0.8133
7, 0.0180, 0.8133
8, 0.0179, 0.8133
9, 0.0179, 0.8133
10, 0.0177, 0.8133
11, 0.0177, 0.8133
12, 0.0174, 0.8133
13, 0.0173, 0.8133
14, 0.0175, 0.8133
15, 0.0169, 0.8133
16, 0.0167, 0.8133
17, 0.0166, 0.8133
18, 0.0167, 0.8133
19, 0.0165, 0.8133
20, 0.0163, 0.8133
21, 0.0163, 0.8133
22, 0.0167, 0.8133
23, 0.0165, 0.8133
24, 0.0162, 0.8133
25, 0.0162, 0.8133
26, 0.0161, 0.8133
27, 0.0161, 0.8133
28, 0.0162, 0.8133
29, 0.0161, 0.8133
30, 0.0163, 0.8133
31, 0.0162, 0.8133
32, 0.0162, 0.8133
33, 0.0162, 0.8133
34, 0.0162, 0.8133
35, 0.0159, 0.8133
36, 0.0158, 0.8133
37, 0.0159, 0.8133
38, 0.0158, 0.8133
39, 0.0159, 0.8133
40, 0.0160, 0.8133
41, 0.0160, 0.8133
42, 0.0160, 0.8133
43, 0.0158, 0.8133
44, 0.0157, 0.8133
45, 0.0160, 0.8133
46, 0.0157, 0.8133
47, 0.0158, 0.8133
48, 0.0158, 0.8133
49, 0.0160, 0.8133
50, 0.0158, 0.8133
51, 0.0156, 0.8133
52, 0.0158, 0.8133
53, 0.0156, 0.8133
54, 0.0159, 0.8133
55, 0.0156, 0.8133
56, 0.0158, 0.8133
57, 0.0160, 0.8133
58, 0.0156, 0.8133
59, 0.0156, 0.8133
60, 0.0157, 0.8133
61, 0.0159, 0.8133
62, 0.0157, 0.8133
63, 0.0156, 0.8133
64, 0.0156, 0.8133
65, 0.0156, 0.8133
66, 0.0158, 0.8133
67, 0.0156, 0.8133
68, 0.0157, 0.8133
69, 0.0157, 0.8133
70, 0.0154, 0.8133
71, 0.0158, 0.8133
72, 0.0158, 0.8133
73, 0.0155, 0.8133
74, 0.0154, 0.8133
75, 0.0154, 0.8133
76, 0.0155, 0.8133
77, 0.0154, 0.8133
78, 0.0154, 0.8133
79, 0.0154, 0.8133
80, 0.0154, 0.8133
81, 0.0154, 0.8133
82, 0.0154, 0.8133
83, 0.0153, 0.8133
84, 0.0153, 0.8133
85, 0.0153, 0.8133
86, 0.0153, 0.8133
87, 0.0154, 0.8133
88, 0.0154, 0.8133
89, 0.0155, 0.8133
90, 0.0153, 0.8133
91, 0.0154, 0.8133
92, 0.0154, 0.8133
93, 0.0154, 0.8133
94, 0.0152, 0.8133
95, 0.0155, 0.8133
96, 0.0153, 0.8133
97, 0.0156, 0.8133
98, 0.0154, 0.8133
99, 0.0154, 0.8133
100, 0.0154, 0.8133
101, 0.0154, 0.8133
102, 0.0155, 0.8133
103, 0.0152, 0.8133
104, 0.0152, 0.8133
105, 0.0152, 0.8133
106, 0.0152, 0.8133
107, 0.0155, 0.8133
108, 0.0153, 0.8133
109, 0.0154, 0.8133
110, 0.0153, 0.8133
111, 0.0154, 0.8133
112, 0.0153, 0.8133
113, 0.0153, 0.8133
114, 0.0153, 0.8133
115, 0.0152, 0.8133
116, 0.0154, 0.8133
117, 0.0152, 0.8133
118, 0.0153, 0.8133
119, 0.0153, 0.8133
120, 0.0151, 0.8133
121, 0.0151, 0.8133
122, 0.0155, 0.8133
123, 0.0151, 0.8133
124, 0.0152, 0.8133
125, 0.0151, 0.8133
126, 0.0151, 0.8133
127, 0.0150, 0.8133
128, 0.0151, 0.8133
129, 0.0153, 0.8133
130, 0.0151, 0.8133
